Name,Area,Country,Latitude,Longitude,Zoom,Boundary
West Kent,South East,England,51.27867252,0.504684448,10,"[0.268754,51.097541],[0.460418,51.112785],[0.733734,51.34021],[0.782254,51.421944],[0.373431,51.441821],[0.371757,51.441154],[0.369213,51.438732],[0.271879,51.193243],[0.261106,51.136003],[0.268754,51.097541]"
West Sussex,South East,England,50.99133918,-0.2879495,10,"[-0.538687,50.807318],[-0.369156,50.8109],[-0.233927,50.834498],[-0.11365,50.922927],[-0.01466,51.128534],[-0.019529,51.133296],[-0.165215,51.172049],[-0.561239,50.961504],[-0.543474,50.809923],[-0.538687,50.807318]"
City Of London,London (North),England,51.51650036,-0.088641644,15,"[-0.082952,51.510829],[-0.076899,51.515613],[-0.068095,51.525099],[-0.082407,51.53376],[-0.105462,51.523353],[-0.096277,51.515111],[-0.088558,51.511505],[-0.082952,51.510829]"
East London,London (North),England,51.5635123,0.033817291,12,"[-0.014519,51.504413],[0.0998652,51.5307365],[0.215253,51.563355],[0.094087,51.671073],[0.00361,51.631162],[-0.083638,51.530534],[-0.06895,51.518578],[-0.052098,51.512497],[-0.014519,51.504413]"
London Chelsea,London (North),England,51.48934665,-0.15827179,14,"[-0.149435,51.477385],[-0.13311,51.487035],[-0.132778,51.490582],[-0.149138,51.498152],[-0.157092,51.501335],[-0.183918,51.489784],[-0.180828,51.481643],[-0.149435,51.477385]"
London Kensington and Fulham,London (North),England,51.48728584,-0.198483467,14,"[-0.200884,51.473869],[-0.179662,51.481643],[-0.19069,51.51594],[-0.206912,51.49922],[-0.217853,51.483551],[-0.21473,51.475015],[-0.200884,51.473869]"
London North,London (North),England,51.56905103,-0.149517059,12,"[-0.10201,51.538405],[-0.046844,51.650013],[-0.047084,51.656594],[-0.179241,51.695106],[-0.204831,51.653312],[-0.186574,51.608699],[-0.174814,51.591788],[-0.10201,51.538405]"
London North East,London (North),England,51.55217669,-0.1141119,14,"[-0.086815,51.532816],[0.182338,51.581088],[0.200518,51.586935],[-0.068348,51.596073],[-0.107977,51.59269],[-0.134511,51.566023],[-0.137177,51.551624],[-0.111914,51.533592],[-0.086815,51.532816]"
London North Middlesex,London (North),England,51.57434943,-0.414476395,13,"[-0.476855,51.543474],[-0.3401,51.575942],[-0.335645,51.58232],[-0.338745,51.601392],[-0.482543,51.603534],[-0.477494,51.5479],[-0.476855,51.543474]"
London North West,London (North),England,51.53773508,-0.191488266,13,"[-0.197803,51.516481],[-0.14127,51.538271],[-0.132479,51.548291],[-0.190198,51.582134],[-0.223569,51.587311],[-0.266755,51.580592],[-0.211152,51.52095],[-0.197803,51.516481]"
London South Middlesex,London (North),England,51.47507579,-0.408039093,12,"[-0.486954,51.410152],[-0.411534,51.418515],[-0.260045,51.490715],[-0.303306,51.516463],[-0.348774,51.535871],[-0.43112,51.523925],[-0.472899,51.512842],[-0.518405,51.435822],[-0.486954,51.410152]"
London West End,London (North),England,51.51789655,-0.131964684,14,"[-0.151222,51.509058],[-0.126834,51.510828],[-0.090633,51.522278],[-0.14271,51.545692],[-0.194612,51.518069],[-0.151222,51.509058]"
London Westway,London (North),England,51.5046557,-0.23255825,14,"[-0.275527,51.489881],[-0.223227,51.491062],[-0.166456,51.524349],[-0.211152,51.52095],[-0.27298,51.507875],[-0.275527,51.489881]"
London Croydon Epsom and Sutton,London (South),England,51.35018618,-0.182218552,13,"[-0.247937,51.279657],[-0.00784,51.339155],[-0.096109,51.377988],[-0.247745,51.379733],[-0.267049,51.354347],[-0.274228,51.329535],[-0.247937,51.279657]"
London North Kent,London (South),England,51.42148314,0.1022425,12,"[0.03345,51.348841],[0.357941,51.364009],[0.234399,51.442576],[0.127351,51.49401],[-0.024145,51.408406],[-0.029914,51.404933],[-0.029228,51.377782],[0.03345,51.348841]"
London South,London (South),England,51.44357606,-0.135612488,13,"[-0.065102,51.389513],[-0.050546,51.412392],[-0.06845,51.490817],[-0.149138,51.498152],[-0.172348,51.437358],[-0.160403,51.406613],[-0.065102,51.389513]"
